rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,name,position,velocity,effort
1561365133523178000,,545,,1561365133,520325899,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365133620962124,,546,,1561365133,620035886,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365133721079791,,547,,1561365133,720015048,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365133821154969,,548,,1561365133,820066928,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365133921100588,,549,,1561365133,920001029,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365134020849080,,550,,1561365134,19989013,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365134121271696,,551,,1561365134,119997978,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365134220875499,,552,,1561365134,220055103,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365134320837117,,553,,1561365134,320008039,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365134421166571,,554,,1561365134,420083999,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365134521138993,,555,,1561365134,519933938,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365134620928492,,556,,1561365134,620028018,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365134721260253,,557,,1561365134,720024108,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365134820891614,,558,,1561365134,820035934,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365134921406561,,559,,1561365134,920099973,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365135021522594,,560,,1561365135,20037889,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365135121319361,,561,,1561365135,120084047,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365135221035137,,562,,1561365135,220031976,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365135323078434,,563,,1561365135,320051908,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365135421332787,,564,,1561365135,420190095,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365135521026662,,565,,1561365135,520032882,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365135620718451,,566,,1561365135,619999885,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365135721679702,,567,,1561365135,719970941,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365135821141648,,568,,1561365135,820132970,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365135921194215,,569,,1561365135,920011997,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365136020893268,,570,,1561365136,19979953,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365136120682442,,571,,1561365136,119949102,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365136222987282,,572,,1561365136,220067977,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365136321375387,,573,,1561365136,320044994,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365136421192976,,574,,1561365136,420011043,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365136521102706,,575,,1561365136,520005941,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365136621479189,,576,,1561365136,620038986,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365136720895177,,577,,1561365136,720047950,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365136821107281,,578,,1561365136,820070028,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365136920836987,,579,,1561365136,920003890,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365137021299160,,580,,1561365137,20018100,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365137121135170,,581,,1561365137,119925022,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365137220590595,,582,,1561365137,219985961,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365137321293577,,583,,1561365137,320060014,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365137421292470,,584,,1561365137,420026063,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365137520893094,,585,,1561365137,520034074,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365137621931747,,586,,1561365137,620851993,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365137720857834,,587,,1561365137,720032930,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365137820922995,,588,,1561365137,820039987,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365137921241824,,589,,1561365137,919971942,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365138021094019,,590,,1561365138,20117998,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365138121434326,,591,,1561365138,120054960,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365138220942275,,592,,1561365138,220067024,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365138320720093,,593,,1561365138,320008993,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365138420922040,,594,,1561365138,420041084,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365138521053224,,595,,1561365138,520035982,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365138621693164,,596,,1561365138,620018959,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365138721119428,,597,,1561365138,719973087,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365138820946361,,598,,1561365138,820010900,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365138921086579,,599,,1561365138,919977903,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365139021151574,,600,,1561365139,20066976,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365139120833208,,601,,1561365139,120039939,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365139220777321,,602,,1561365139,220057964,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365139320991448,,603,,1561365139,320035934,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365139420935191,,604,,1561365139,419981956,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365139521157684,,605,,1561365139,520006895,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365139621187123,,606,,1561365139,620033025,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365139720882335,,607,,1561365139,719932079,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365139821424964,,608,,1561365139,820108890,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365139920568519,,609,,1561365139,920288085,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365140022424439,,610,,1561365140,19942045,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365140121262410,,611,,1561365140,119986057,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365140221138194,,612,,1561365140,220016002,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365140321118735,,613,,1561365140,320019960,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365140420891652,,614,,1561365140,419891119,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365140521120557,,615,,1561365140,520016908,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365140621456464,,616,,1561365140,620105981,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365140720783600,,617,,1561365140,720153093,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365140821270831,,618,,1561365140,820086956,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
